1,2,1
1,3,1
2,6,1
3,4,2
4,5,1
7,8,1
7,9,1
8,3,1
8,4,1
9,3,1
9,4,1
9,10,1
10,4,1
10,11,3
11,2,1
12,13,2
12,14,1
12,15,1
13,16,5
14,4,5
14,18,10
15,2,5
15,19,1
15,20,1
16,17,2
19,4,4
20,4,5
21,22,3
21,23,2
21,24,1
22,10,2
22,11,4
22,25,2
23,3,1
23,20,1
23,27,2
24,26,30
24,44,30
25,18,1
25,26,20
27,4,1
28,29,1
28,30,1
28,31,30
29,16,10
29,20,10
29,22,5
30,10,5
30,22,5
31,17,1
31,20,1
31,32,1
32,4,1
33,34,2
33,35,1
33,36,3
34,10,20
34,22,2
34,37,5
35,10,3
35,20,1
35,38,2
35,39,1
36,2,20
36,20,2
36,25,5
37,4,1
37,24,5
37,44,100
38,2,1
38,4,1
38,37,20
39,10,2
39,23,1
39,40,15
40,41,10
46,36,10
46,47,10
46,48,10
47,34,1
47,49,1
48,42,10
48,50,10
49,10,5
49,22,5
51,34,100
51,36,100
51,48,50
51,52,100
51,53,5
51,54,100
52,4,2
52,38,5
53,3,5
53,4,10
53,10,5
54,2,5
54,10,15
54,20,5
55,46,100
55,51,1
56,3,5
56,8,1
57,3,10
57,40,20
57,56,1
